,Name,Time Taken,Fails,Amount of User Inputs,Obstacle Number
0,Grac,12,0,3,1
1,Grac,7.147537231,0,1,2
2,Grac,172.0532496,3,4,3
3,Grac,30.83267236,0,3,4
0,allyson,12,1,1,1
1,allyson,9.512559891,0,1,2
2,allyson,146.3670135,4,5,3
3,allyson,70.95621514,0,3,4
0,Merc,12,1,2,1
1,Merc,8.130511284,0,1,2
2,Merc,133.1480496,3,4,3
3,Merc,84.19579816,0,3,4
0,Arianna,12,0,2,1
1,Arianna,4,0,1,2
2,Arianna,93.375,3,4,3
3,Arianna,32.329,0,3,4
0,Ross,12,0,2,1
1,Ross,6.666567564,0,1,2
2,Ross,104.129312,2,3,3
3,Ross,94.8882916,0,3,4
0,John,12,1,1,1
1,John,10.51255989,0,1,2
2,John,146.1345444,4,5,3
3,John,80.95621514,1,4,4
0,Sa,12,0,4,1
1,Sa,3.73,0,1,2
2,Sa,158.864,3,4,3
3,Sa,38.16215,0,3,4
0,Mialy,12,0,3,1
1,Mialy,6.201587677,0,1,2
2,Mialy,112.281703,3,4,3
3,Mialy,56.39283442,1,4,4
0,Narindra,12,0,3,1
1,Narindra,5.038377047,2,3,2
2,Narindra,114.2611675,3,4,3
3,Narindra,55.70911694,1,4,4
0,Luke,12,0,4,1
1,Luke,21.97974086,0,1,2
2,Luke,97.9105227,2,3,3
3,Luke,42.13320994,1,4,4
0,Emma,12,0,4,1
1,Emma,7.147537231,0,1,2
2,Emma,134.8697824,3,4,3
3,Emma,34.86978236,0,3,4
0,Boom,12,1,4,1
1,Boom,4.996607542,0,1,2
2,Boom,75.4663763,3,5,3
3,Boom,30.53029442,1,4,4
0,Expo,12,1,3,1
1,Expo,8.075721025,0,1,2
2,Expo,156.9910409,1,4,3
3,Expo,60.82726836,3,6,4
0,Arden,12,0,3,1
1,Arden,6.038377047,2,3,2
2,Arden,119.21675,3,4,3
3,Arden,56.24156,1,4,4
